Wikidata ID,Relation,Template
P7938,associated electoral district,<subject> located in the constituency <object>.
P54,member of sports team,<subject> plays for <object>.
P108,employer,<subject> works at <object>.
P26,spouse,<subject> marries to <object>.
P1435,heritage designation,The designation of <subject> is <object>.
P39,position held,<subject> holds the political office of <object>.
P69,educated at,<subject> graduates from <object>.
P102,member of political party,<subject> is the member of party <object>.
P36,capital,<subject>'s location of capital is <object>.
P131,located in the administrative territorial entity,<subject> is in the local government area of <object>.
P463,member of,<subject> is member of <object>.
P421,located in time zone,<subject> locates in time zone <object>.
P937,work location,<subject> works at <object>.
P118,league,The sports league of <subject> is  <object>.
P488,chairperson,<subject> is headed by <object>.
P197,adjacent station,<subject> borders on station <object>.
P190,twinned administrative body,<subject> have a partnership with <object>.
P1050,medical condition,<subject> suffers from <object>.
P1037,director / manager,The director of <subject> is <object>.
P1376,capital of,<subject> is capital of <object>.
P17,country,The country of <subject> is <object>.
P166,award received,<subject> receives award of <object>.
P106,occupation,The job of <subject> is <object>.
P449,original broadcaster,<subject> broadcasts firstly on <object>.
P27,country of citizenship,<subject> is the citizen of <object>.
P734,family name,The family name of <subject> is <object>.
P800,notable work,<subject> owns the representative work of <object>.
P749,parent organization,<subject> is the subsidiary of <object>.
P155,follows,<subject> succeeds to <object>.
P945,allegiance,<subject> pledged its allegiance to <object>.
P530,diplomatic relation,<subject> establishes the diplomatic relation with <object>.
P35,head of state,The president of <subject> is <object>.
P6,head of government,<subject> is headed by <object>.
P38,currency,<subject> uses <object> as currency.
P137,operator,<subject> is managed by <object>.
P641,sport,<subject> plays <object>.
P361,part of,<subject> is part of <object>.
P1075,rector,The rector of <subject> is <object>.
P413,position played on team / speciality,<subject> plays the position of <object> on team / spefiality.
P159,headquarters location,The headquarter of <subject> locates in <object>.
P3461,designated as terrorist by,<subject> is designated as terrorist group by <object>.
P793,significant event,<subject> has the significant event of <object>.
P276,location,<subject> locates in <object>.
P466,occupant,<subject> is occupated by <object>.
P451,unmarried partner,<subject>'s life partner is <object>.
P2632,place of detention,Criminals of <subject> are imprisoned at <object>.
P551,residence,<subject> lives in <object>.
P156,followed by,<subject> is followed by <object>.
P1789,chief operating officer,The chief operating officer of <subject> is <object>.
P1308,officeholder,The position of <subject> is held by <object>.
P115,home venue,<subject>'s home venue is <object>.
P2881,promoted,<subject> was promoted to <object>.
P98,editor,<subject> is edited by <object>.
P1192,connecting service,<subject> is the stop of <object>.
P6087,coach of sports team,The coach of the sports team <subject> is <object>.
P97,noble title,<subject> holds the noble title of <object>.
P286,head coach,The head coach of <subject> is <object>.
P47,shares border with,<subject> shares a border with <object>.
P275,copyright license,<subject> is licensed under the copyright license of <object>.
P412,voice type,<subject> has a voice type of <object>.
P3301,broadcast by,<subject> is broadcasted by <object>.
P410,military rank,<subject> holds the military rank of <object>.
P531,diplomatic mission sent,<subject> has sent a diplomatic mission to <object>.
P127,owned by,<subject> is owned by <object>.
P1532,country for sport,<subject> represents <object> in the sport.
P2291,charted in,<subject> is charted in <object>.
P81,connecting line,<subject> is connected by <object>.
P511,honorific prefix,<subject> is addressed with the honorific prefix <object>.
P2789,connects with,<subject> connects with <object>.
P512,academic degree,<subject> holds an academic degree in <object>.
P1576,lifestyle,<subject> follows the <object> lifestyle.
P664,organizer,<subject> is organized by <object>.
P264,record label,<subject> is signed with the record label <object>.
P1365,replaces,<subject> replaces <object>.
P366,has use,<subject> has the use of <object>.
P121,item operated,<subject> operates the item <object>.
P559,terminus,<subject> has a terminus at <object>.
P504,shipping port,The shipping port of <subject> locates at <object>.
P119,place of burial,<subject> is buried at <object>.
P138,named after,<subject> is named after <object>.
P8047,country of registry,<subject> is registered in the country of <object>.
P123,publisher,<subject> is published by <object>.
P1001,applies to jurisdiction,<subject> applies to the jurisdiction of <object>.
P710,participant,<subject> is a participant in <object>.
P1542,has effect,<subject> has an effect on <object>.
P1366,replaced by,<subject> is replaced by <object>.
P2176,drug or therapy used for treatment,The treatment of <subject> uses a drug or therapy of <object>.
P859,sponsor,<subject> is sponsored by <object>.
P2868,subject has role,<subject> has the role of <object>.
P5769,editor-in-chief,<subject> holds the position of editor-in-chief at <object>.
P179,part of the series,<subject> is part of the series <object>.
P1906,office held by head of state,The head of state at <subject> holds the office of <object>.
P2175,medical condition treated,<subject> is used to treat the medical condition of <object>.
P527,has part(s),<subject> has the part(s) <object>.
P3438,vehicle normally used,<subject> normally uses a vehicle of <object>.
P136,genre,<subject> belongs to the genre of <object>.
P371,presenter,<subject> is presented by <object>.
P1416,affiliation,<subject> is affiliated with <object>.
P176,manufacturer,<subject> is manufactured by <object>.
P5353,school district,<subject> belongs to the <object> school district.
P3730,next higher rank,The next higher rank of <subject> is <object>.
P3729,next lower rank,The next lower rank of <subject> is <object>.
P241,military branch,<subject> serves in the <object> military branch.
P1830,owner of,<subject> is the owner of <object>.
P532,port of registry,<subject> is registered in the <object> port.
P735,given name,<subject>'s given name is <object>.
P2389,organization directed by the office or position,The <subject> office or position directs the <object> organization.
P195,collection,<subject> is part of the <object> collection.
P3320,board member,<subject> serves as a board member of <object>.
P1313,office held by head of government,<subject> holds the office of <object> as the head of government.
P185,doctoral student,<subject> has a doctoral student <object>.
P1071,location of creation,<subject> was created in <object> location.
P2505,carries,<subject> carries <object>.
P5514,accredited by,<subject> is accredited by <object>.
P611,religious order,<subject> belongs to the <object> religious order.
P4794,season starts,The <subject> season starts in <object>.
P1064,track gauge,The track gauge of <subject> is <object>.
P407,language of work or name,The language of <subject>'s work or name is <object>.
P483,recorded at studio or venue,<subject> was recorded at the <object> studio or venue.
P3716,social classification,<subject> belongs to the <object> social classification.
P150,contains the administrative territorial entity,<subject> contains the administrative territorial entity of <object>.
P140,religion or worldview,<subject> follows the religion or worldview <object>.
P7153,significant place,<subject> is associated with the significant place of <object>.
P282,writing system,<subject> uses the writing system of <object>.
P495,country of origin,<subject> originates from the country of <object>.
P291,place of publication,<subject> was published in <object>.
P768,electoral district,<subject> belongs to the electoral district of <object>.
P598,commander of (DEPRECATED),<subject> is the commander of <object>.
P85,anthem,<subject> has the anthem <object>.
P516,powered by,<subject> is powered by <object>.
P272,production company,<subject> is produced by <object>.
P144,based on,<subject> is based on <object>.
P263,official residence,<subject> has the official residence at <object>.
P4791,commanded by,<subject> is commanded by <object>.
P2992,software quality assurance,<subject> undergoes software quality assurance of <object>.
P505,general manager,<subject> has a general manager named <object>.
P178,developer,<subject> is developed by <object>.
P1389,product certification,<subject> has obtained product certification of <object>.
P101,field of work,<subject> works in the field of <object>.
P3403,coextensive with,<subject> is coextensive with <object>.
P1038,relative,<subject> is a relative of <object>.
P53,family,<subject> belongs to the <object>.
P708,diocese,<subject> is associated with the <object> diocese.
P3931,copyright holder,The copyright of <subject> is held by <object>.
P57,director,<subject> is directed by <object>.
P8938,artistic director,<subject>'s artistic director is <object>.
P726,candidate,<subject> is a candidate for <object>.
P3975,secretary general,<subject> holds the position of secretary general in <object>.
P750,distributed by,<subject> is distributed by <object>.
P3335,associated hazard,<subject> is associated with the hazard of <object>.
P767,contributor to the creative work or subject,<subject> is contributed by <object> .
P2283,uses,<subject> uses <object>.
P1344,participant in,<subject> is a participant in <object>.
P112,founded by,<subject> was founded by <object>.
P831,parent club,<subject> has the parent club of <object>.
P126,maintained by,<subject> is maintained by <object>.
P825,dedicated to,<subject> is dedicated to <object>.
P3342,significant person,<subject> is associated with <object>.
P1029,crew member(s),<subject> has a crew member of <object>.
P3300,musical conductor,<subject> is conducted by <object>.
P5995,kit supplier,<subject> is supplied with kits by <object>.
P1441,present in work,<subject> is present in the work of <object>.
P7936,business model,<subject> follows the business model of <object>.
P609,terminus location,<subject> has its terminus located at <object>.
P78,top-level Internet domain,<subject> uses the top-level Internet domain <object>.
P5389,permanent resident of,<subject> is a permanent resident of <object>.
P1142,political ideology,<subject> adheres to the political ideology of <object>.
P607,conflict,<subject> is involved in the conflict of <object>.
P2238,official symbol,<subject> is represented by the official symbol of <object>.
P1875,represented by,<subject> is represented by <object>.
P840,narrative location,<subject> is set in the narrative location of <object>.
P306,operating system,<subject> operates on the <object> operating system.
P3279,statistical leader,The statistical leader of <subject> is <object>.
P485,archives at,<subject> has archives located at <object>.
P2388,office held by head of the organization,The head of the organization <subject> is held by the office <object>.
P5096,member of the crew of,<subject> is a member of the crew of <object>.
P2739,typeface/font used,<subject> uses the <object> typeface/font.
P1268,represents,<subject> represents <object>.
P86,composer,<subject> is composed by <object>.
P2541,operating area,<subject> operates in the area of <object>.
P1387,political alignment,<subject> has a political alignment of <object>.
P7779,military unit,<subject> belongs to the military unit of <object>.
P1327,partner in business or sport,<subject> is a partner in business or sport with <object>.
P8138,located in statistical territorial entity,<subject> is located in the statistical territorial entity of <object>.
P408,software engine,<subject> runs on the <object> software engine.
P141,IUCN conservation status,<subject> has the IUCN conservation status of <object>.
P21,sex or gender,<subject> is of the <object> sex or gender.
P3460,colonel-in-chief,<subject> holds the honorary position of colonel-in-chief of <object>.
P669,located on street,<subject> is located on <object>.
P277,programmed in,<subject> is programmed in <object>.
P437,distribution format,<subject> is distributed in the <object> format.
P2500,league level below,<subject> belongs to a league level below <object>.
P1990,species kept,<subject> keeps the species of <object>.
P450,astronaut mission,<subject> is part of the astronaut mission <object>.
P765,surface played on,<subject> is played on the <object> surface.
P3018,located in protected area,<subject> is located in the protected area of <object>.
P460,said to be the same as,<subject> is said to be the same as <object>.
P462,color,<subject> is <object>.
P279,subclass of,<subject> is a subclass of <object>.
P1027,conferred by,<subject> is conferred by <object>.
P1066,student of,<subject> is a student of <object>.
P10611,has certification,<subject> has the certification of <object>.
P1056,product or material produced,<subject> produces the product or material of <object>.
P186,made from material,<subject> is made from the material of <object>.
P167,structure replaced by,<subject> was replaced by the structure of <object>.
P210,party chief representative,<subject> serves as the party chief representative for <object>.
P2828,corporate officer,<subject> holds a corporate officer position at <object>.
P1652,referee,<subject> acts as a referee for <object>.
P912,has facility,<subject> has the facility of <object>.
