Month,Tokens
2019-1,521274
2019-2,16939
2019-3,10009
2019-4,10375
2019-5,11333
2019-6,44885
2019-7,40926
2019-8,24314
2019-9,13173
2019-10,11281
2019-11,10012
2019-12,10513
2020-1,119870
2020-2,14249
2020-3,11540
2020-4,7131
2020-5,5125
2020-6,26971
2020-7,31759
2020-8,21219
2020-9,16995
2020-10,12404
2020-11,8431
2020-12,6606
2021-1,90433
2021-2,12304
2021-3,9985
2021-4,12027
2021-5,7697
2021-6,26916
2021-7,27355
2021-8,14881
2021-9,11705
2021-10,15678
2021-11,9775
2021-12,8312
2022-1,65244
2022-2,8856
2022-3,8421
2022-4,19625
2022-5,14991
2022-6,29664
2022-7,19470
2022-8,13319
2022-9,13282
2022-10,9918
2022-11,10880
2022-12,8153
2023-1,26283
2023-2,7020
2023-3,5747
2023-4,4637
2023-5,3331
2023-6,565
